http,mysql-python,hg,django-debug-toolbar,django-tagging
sphinx,sphinxcontrib-fulltoc
django,mysql-python,flup
django
django,mechanize,wsgi_intercept
django-treebeard,django-templatetag-sugar
django,fabric,pil,south,coverage,django-autoslug,django-compressor,django-coverage,django-crispy-forms,django-debug-toolbar,django-floppyforms,django-form-utils,django-guardian,django-mockups,django-pagination,django-stdimage,easy-thumbnails,httplib2,logilab-astng,logilab-common,numpy,paramiko,psycopg2,pycrypto,pygeocoder,pylint,raven,simplejson,wsgiref,factory_boy,requests,rq,django-rq,django-rq-dashboard
cherrypy,pymongo,mako
python-daemon,pydns
django,south
