antecedent_occurrences,bayesian_confidence,confidence,conviction,lift,occurrences,other_items,start_items,subsequent_occurrences,support
106,0.709429217059,0.783018867925,4.11986014886,7.38222904783,83,'pytz','alabaster',1075,0.0081894425259
106,0.813790700465,0.877358490566,6.6284695078,4.68988834488,93,'jinja2','alabaster',1896,0.0091761223483
106,0.679192781849,0.754716981132,4.03388106713,71.4865103156,80,'sphinx-rtd-theme','alabaster',107,0.00789343857918
106,0.824632785844,0.88679245283,7.38914652195,5.42404436297,94,'markupsafe','alabaster',1657,0.00927479033054
106,0.846631684218,0.905660377358,10.1973359645,23.8412153884,96,'sphinx','alabaster',385,0.00947212629502
106,0.869140959846,0.924528301887,12.7819684262,26.173447876,98,'babel','alabaster',358,0.0096694622595
106,0.709429217059,0.783018867925,3.70605521117,3.99793260777,83,'six','alabaster',1985,0.0081894425259
106,0.813790700465,0.877358490566,7.90524837767,28.776790621,93,'docutils','alabaster',309,0.0091761223483
106,0.803040305521,0.867924528302,7.25841144549,20.9938307741,92,'pygments','alabaster',419,0.00907745436606
106,0.709429217059,0.783018867925,4.56867935051,90.1806389365,83,'snowballstemmer','alabaster',88,0.0081894425259
271,0.781078491349,0.822878228782,4.58964191745,4.39866605945,223,'jinja2','alembic',1896,0.0220029600395
271,0.691500604185,0.738007380074,3.56721165672,11.2816060287,200,'flask-sqlalchemy','alembic',663,0.019733596448
271,0.710769299976,0.756457564576,3.57492637276,5.84797667199,205,'itsdangerous','alembic',1311,0.0202269363592
271,0.804910650922,0.845018450185,5.04603566143,3.87698596316,229,'flask','alembic',2209,0.0225949679329
271,0.611578510875,0.660516605166,2.87677012505,28.246142588,179,'flask-migrate','alembic',237,0.0176615688209
271,0.865714380638,0.90036900369,9.11701657257,9.82264784973,244,'sqlalchemy','alembic',929,0.0240749876665
271,0.714635416218,0.760147601476,3.55916967098,5.1949399467,206,'werkzeug','alembic',1483,0.0203256043414
271,0.765311521835,0.808118081181,4.35948920345,4.94283449171,219,'markupsafe','alembic',1657,0.0216082881105
271,0.672329925925,0.719557195572,3.43033521149,18.942109551,195,'flask-script','alembic',385,0.0192402565368
271,0.734031477169,0.778597785978,4.38163459957,26.0431965706,211,'mako','alembic',303,0.0208189442526
166,0.893327602439,0.933734939759,14.8184240032,51.7125880571,155,'anyjson','amqp',183,0.0152935372472
166,0.514332232919,0.578313253012,1.73639579956,2.15961857748,96,'django','amqp',2714,0.00947212629502
166,0.830747899502,0.879518072289,8.14603848051,47.4144450141,146,'kombu','amqp',188,0.014405525407
166,0.57511778033,0.638554216867,2.22479855287,3.26032593851,106,'six','amqp',1985,0.0104588061174
166,0.810557942736,0.861445783133,6.45185645954,8.12163070888,143,'pytz','amqp',1075,0.0141095214603
166,0.810557942736,0.861445783133,7.01799618198,31.1812607573,143,'celery','amqp',280,0.0141095214603
166,0.544603810679,0.60843373494,1.93321240181,2.50364429704,101,'requests','amqp',2463,0.00996546620622
166,0.784005582031,0.83734939759,6.06140071991,59.3464066054,139,'billiard','amqp',143,0.0137148495313
71,0.825135132626,0.901408450704,8.65870744943,6.16033354544,64,'werkzeug','aniso8601',1483,0.00631475086334
71,0.877365150543,0.943661971831,14.8480019734,5.77188538594,67,'markupsafe','aniso8601',1657,0.00661075481006
71,0.895819590221,0.957746478873,19.2392369676,5.11959945326,68,'jinja2','aniso8601',1896,0.0067094227923
71,0.842140810315,0.915492957746,11.6395165269,55.8947055829,65,'flask-restful','aniso8601',166,0.00641341884558
71,0.521584619294,0.619718309859,2.38859105776,6.76086659895,44,'sqlalchemy','aniso8601',929,0.00434139121855
71,0.877365150543,0.943661971831,13.8812530834,4.32956726324,67,'flask','aniso8601',2209,0.00661075481006
71,0.792008515621,0.87323943662,6.34380310256,4.45858019654,62,'six','aniso8601',1985,0.00611741489887
71,0.521584619294,0.619718309859,2.45760748415,9.47337114694,44,'flask-sqlalchemy','aniso8601',663,0.00434139121855
71,0.792008515621,0.87323943662,7.05212958395,8.23282017688,62,'pytz','aniso8601',1075,0.00611741489887
71,0.877365150543,0.943661971831,15.4539713863,7.29520525134,67,'itsdangerous','aniso8601',1311,0.00661075481006
183,0.579011782097,0.639344262295,2.2296721532,3.26435974728,117,'six','anyjson',1985,0.0115441539221
183,0.797364399998,0.846994535519,6.4286665727,51.7125880571,155,'amqp','anyjson',166,0.0152935372472
183,0.715009985351,0.770491803279,3.89498907604,7.26412504766,141,'pytz','anyjson',1075,0.0139121854958
183,0.703457535189,0.75956284153,4.10040812665,53.8333524399,139,'billiard','anyjson',143,0.0137148495313
183,0.709228001995,0.765027322404,4.13823843233,27.6912568306,140,'celery','anyjson',280,0.0138135175136
183,0.562366969073,0.622950819672,2.00764462367,2.56338065667,114,'requests','anyjson',2463,0.0112481499753
